sim_time, S, E, VD1, VD2, I, R, New_E, New_I, New_R, D
0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
1, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
3, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
4, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
5, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
6, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
7, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
8, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
9, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
10, 0.99999, 1e-05, 1.0, 0.0, 0.0, 0.0, 1e-05, 0.0, 0.0, 0.0
11, 0.99998, 2e-05, 1.0, 0.0, 0.0, 0.0, 1e-05, 0.0, 0.0, 0.0
12, 0.99996, 4e-05, 1.0, 0.0, 0.0, 0.0, 2e-05, 0.0, 0.0, 0.0
13, 0.99994, 6e-05, 1.0, 0.0, 0.0, 0.0, 2e-05, 0.0, 0.0, 0.0
14, 0.99991, 9e-05, 1.0, 0.0, 0.0, 0.0, 3e-05, 0.0, 0.0, 0.0
15, 0.99986, 0.00013, 1.0, 0.0, 1e-05, 0.0, 4e-05, 1e-05, 0.0, 0.0
16, 0.9998, 0.00018, 1.0, 0.0, 2e-05, 0.0, 5e-05, 1e-05, 0.0, 0.0
17, 0.99972, 0.00025, 1.0, 0.0, 3e-05, 0.0, 7e-05, 1e-05, 0.0, 0.0
18, 0.99962, 0.00033, 1.0, 0.0, 5e-05, 0.0, 9e-05, 2e-05, 0.0, 0.0
19, 0.99952, 0.0004, 1.0, 0.0, 8e-05, 0.0, 9e-05, 3e-05, 0.0, 0.0
